Sent1,Sent2,SimScore
सीनेटरों में एथलीट ने अभिनेताओं को रोक दिया।,The athlete stopped the actors .,0.79
संयुक्त राष्ट्र की रिपोर्ट में कहा गया है कि सीरिया में दोनों पक्ष अधिकारों का दुरुपयोग करते हैं,NATO leader plays down risk of Turkey-Syria clash,0.2
पर्यटकों ने सचिवों की सिफारिश की।,The secretaries that the tourists recommended introduced the student .,0.65
एक महिला ब्रोकली काट रही है।,A woman is chopping broccoli with a knife.,0.85
एथलीट छात्र को जानते थे।,The athletes knew the student recommended the tourists .,0.37
"उस स्थिति में, एलियास ईएमसी के अध्यक्ष और सीईओ जो टुकी को रिपोर्ट करेंगे।","As executive vice president of new ventures, Elias will report to Joe Tucci, EMC's president and chief executive.",0.6799999999999999
संयुक्त राज्य सरकार ने ईरानी सरकार पर असैन्य परमाणु कार्यक्रम की आड़ में परमाणु हथियार विकसित करने का प्रयास करने का आरोप लगाया है।,the us and allies have accused iran of attempting to develop nuclear weapons under the guise of a civilian nuclear program.,0.92
एक स्नोबोर्डर हवा में कूदता है।,A snowboarder flies through the air.,0.8
"यदि वैज्ञानिकों ने लेखक से संपर्क किया, तो छात्रों ने प्रदर्शन किया।",The scientists contacted the author .,0.45
खुर्शीद की यात्रा पर सबकी निगाहें...,EU finance ministers‚Äô talks b...,0.36
मुंबई में इंग्लैंड के लिए जॉनी बेयरस्टो और इयोन मोर्गन चमके,Bairstow hits ton in India tour match,0.36
अभिनेताओं ने सीनेटर का समर्थन किया।,"If the actors supported the senator , the doctors stopped the president .",0.45
बैंकर ने छात्रों को धन्यवाद दिया।,The banker thanked the students next to the professor .,0.79
मैनेजर ने जजों को धन्यवाद दिया।,The president thanked the manager who introduced the judges .,0.29
कलाकारों का उल्लेख करने वाले प्रबंधकों ने सीनेटर को सलाह दी।,The artists advised the senator .,0.31
राष्ट्रपति को उम्मीद थी कि पर्यटक ने सचिवों का परिचय कराया।,The tourist introduced the secretaries .,0.43
चीन में ऑर्डर के टूटने से महत्वपूर्ण वैश्विक उथल-पुथल मच जाएगी।,a breakdown of order in china will be worse than in afghanistan or yugoslavia.,0.6799999999999999
एक आदमी मछली पकड़ रहा है।,A man is exercising.,0.1
सचिव पहुंचे।,Probably the secretary arrived .,0.53
वैज्ञानिकों और प्रोफेसर ने बैंकर को रोका।,The scientists stopped the banker .,0.68
बाइक पर हेलमेट पहने दो युवक।,Two men stand with their bicycles outside a shop.,0.32
सचिवों ने वैज्ञानिक को सुना।,The secretaries heard the scientist recognized the actors .,0.37
वे आंशिक मनोरोगी हैं।,Was Ted Bundy a partial psychopath?,0.36
कुत्ते द्वारा बेटी को मारने के बाद हत्या के आरोप में मां गिरफ्तार,Man arrested on suspicion of murder after stabbing in Suffolk,0.36
"चीन में किशोर की चाकू से हमले में आठ की मौत, पांच घायल",Teenager kills 8 in knife attack,0.64
एक पीला और नीला हवाई जहाज आसमान में उड़ रहा है।,The white airplane is flying in the blue sky.,0.64
छात्रों ने पार्षदों का उत्साहवर्धन किया।,The senators encouraged the students .,0.29
व्यापक स्टैंडर्ड एंड पूअर्स 500 इंडेक्स .SPX 3 अंक या 0.30 प्रतिशत गिरकर 995 पर आ गया।,"The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94.",0.2666
कलाकार पहुंचे।,"The managers thanked the athletes , and the artist arrived .",0.62
"वक्र से आगे, बेंचमार्क 10-वर्षीय नोट US10YT=RR कीमत में 25/32 गिरा, इसकी उपज 3.17 प्रतिशत से 3.26 प्रतिशत हो गई।","Early Wednesday, the benchmark 10-year US10YT=RR had lost 16/32 in price, driving its yield up to 3.33 percent from 3.26 percent late Tuesday.",0.6
एथलीटों ने लेखकों की प्रशंसा की।,The athletes were admired by the authors .,0.3
वकीलों से संपर्क करने वाले प्रोफेसर ने सचिव को रोक दिया।,The secretary stopped the lawyers .,0.29
फिक्स ?: इस्लाम अपने आप में राजनीतिक नहीं है।,Islam has always been political.,0.24
निस्संदेह सीनेटर ने प्रदर्शन किया।,The senator performed .,0.88
"यदि आपने कोई दावा नहीं किया है, तो बस इतना कहिए।",I haven't made any claims.,0.48
दो बड़े भूरे कुत्ते बर्फ में दौड़ रहे हैं।,A brown dog running through the grass.,0.4
वैज्ञानिक ने डॉक्टरों की मदद की।,Supposedly the scientist helped the doctors .,0.53
छात्र पहुंचे।,Supposedly the students arrived .,0.53
शिकागो के शिक्षक 'ढांचे' समझौते के साथ समाप्त होने के कगार पर हैं,"General strike ends: Histadrut, Treasury reach agreement",0.16
देश अंतरिक्ष के शस्त्रीकरण और अंतरिक्ष में हथियारों की होड़ का विरोध करते हैं।,china stressed that opposition of weaponization and an arms race in outer space.,0.64
एक आदमी गिटार बजा रहा है।,A man plays a guitar.,0.9714
छात्र ने वैज्ञानिकों और प्रोफेसरों को बुलाया।,The professors called the scientists .,0.29
"पर्यटकों ने अभिनेता की सिफारिश की, या सीनेटरों ने इस्तीफा दे दिया।",The tourists recommended the actor .,0.5
कलाकार ने लेखक को धन्यवाद दिया जिन्होंने प्रोफेसरों को बुलाया।,The author thanked the artist .,0.29
मिस्र के लोग इस्लाम समर्थित संविधान पर मतदान करते हैं,'Judge at polls directs voters on Egypt constitution vote',0.2799999999999999
दो लोगों पर आतंकवाद के अपराध का आरोप,Saudi-born Nigerian charged with terrorism in New York,0.36
उसने कहा कि जेन डो के वकीलों ने वेरिज़ोन को अपना नाम वापस लेने के लिए कहा क्योंकि वह सम्मन को चुनौती देने की योजना बना रही थी।,"Jane Doe, deciding to fight the subpoena, asked Verizon to withhold her name.",0.72
सचिव के बाद के राष्ट्रपति कलाकारों को मानते थे।,The secretary believed the artists .,0.26
"केडीओ प्रवक्ता, रोलैंड ट्रिकॉट ने कहा: ""कार्यकारी बोर्ड ने इस प्रश्न को राजधानियों को संदर्भित करने का निर्णय लिया।","""The executive board decided to refer this to the capitals,"" the Korean Energy Development Organization said.",0.8
एक महिला तैर रही है।,A man is spitting.,0.0
एथलीट दौड़ा।,"Whether or not the athlete ran , the doctors recognized the author .",0.45
एथलीट भूल गए कि प्रबंधक ने नृत्य किया।,The manager danced .,0.55
ओ'माली द्वारा देश के चौथे सबसे बड़े महाधर्मप्रांत की कमान संभालने के दो महीने से भी कम समय में समझौता प्रभावी हो गया।,"The $85 million agreement was reached in September, less than two months after Archbishop Sean O'Malley took over as leader of the nation's fourth-largest diocese.",0.6
एक कंगारू कुछ खा रहा है।,A kangaroo is eating.,0.96
सचिव ने प्रोफेसरों को पहचानने वाले वैज्ञानिकों को रोक दिया।,The professors stopped the secretary .,0.29
"गोली, जिसे वे ""पॉलीपिल"" कहते हैं, में एस्पिरिन, एक कोलेस्ट्रॉल कम करने वाली दवा, तीन रक्तचाप कम करने वाली दवाएं आधी मानक खुराक और फोलिक एसिड शामिल होंगी।","The ingredients of such a polypill would contain aspirin, a cholesterol-lowering statin, three blood pressure-lowering agents in half dose, and folic acid.",1.0
सचिव ने इंतजार किया।,"Although the banker contacted the actor , the secretary waited .",0.78
चीन के शेयर गुरुवार को निचले स्तर पर समाप्त हुए,China stocks close lower on Thursday,1.0
WW की मूर्खता के लिए जर्मनी को वास्तव में 'दंडित' कैसे किया जा रहा है?,How exactly are they being punished?,0.2799999999999999
सेक्रेटरी ने डांस किया।,"In case the doctor mentioned the senators , the secretary danced .",0.78
छात्रों को वकीलों ने रोका।,The lawyer stopped the students .,1.0
वेनेजुएला की जेल में गैंग हिंसा में 16 की मौत,Sixteen killed in Venezuela prison,0.8
गंभीर वकीलों ने अभिनेताओं की मदद की।,Lawyers helped the actors .,0.78
मैनेजरों को बुलाने वाले छात्र को वैज्ञानिक ने रोका।,The student stopped the scientist .,0.29
अभिनेताओं ने प्रयोगशाला में मदद की।,The actors helped in the laboratory mentioned the professor .,0.59
एक गहरे भूरे रंग का घोड़ा खेत में खड़ा है।,Horse standing in a field.,0.72
रेत पर दौड़ता सफेद कुत्ता।,A white dog runs on the sand.,1.0
एक महिला प्याज काट रही है।,A woman is cutting an onion.,0.8400000000000001
"मोनरोविया में आवासीय सड़कों पर खड़ी एसयूवी को ""ईएलएफ"" और अन्य नारों के साथ टैग किया गया था, और दूसरे को एक घर के सामने आग लगा दी गई थी, सार्जेंट। टॉम राइट ने कहा।","Several SUVs parked on residential streets in Monrovia were tagged with ``ELF'' and other slogans, said Sgt. Tom Wright.",0.7
सचिवों ने वकीलों को भुगतान किया।,The secretaries paid .,0.66
"Z ने उसका पीछा किया, फिर उसे गोली मार दी।","You claimed Zimmerman "" Stalked him down, then shot him "".",0.6
उन्हें ऐसे अणु मिले जो केवल तभी उत्पन्न हो सकते हैं जब ओजोन कोलेस्ट्रॉल को तोड़ता है।,And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.,0.85
एथलीटों और सीनेटरों ने इंतजार किया।,The senators waited .,0.73
खिलाड़ियों ने वकीलों का हौसला बढ़ाया।,The judge knew that the athlete encouraged the lawyers .,0.55
बीजिंग पुलिस ने शहर के एक लोकप्रिय शहर के 2 पबों में मादक द्रव्यों के सेवन और तस्करी के संदेह में 8 विदेशियों सहित 20 से अधिक लोगों को गिरफ्तार किया है।,beijing police apprehended more than 20 people in suspicion of using and trafficking drugs in 2 downtown bars.,0.76
ज़ाबोल दक्षिणपूर्वी ईरान का एक शहर है।,khoramabad is a city in western iran.,0.24
न्यायाधीशों ने वकीलों के पीछे डॉक्टरों पर विश्वास किया।,The judges believed the doctors .,0.79
अभिनेता ने टूर्नामेंट जीता।,The actor won .,0.66
"एफबीआई, सीआईए, कैनेडियन सिक्योरिटी इंटेलिजेंस सर्विस और रॉयल कैनेडियन माउंटेड पुलिस के प्रवक्ताओं ने एल शुक्रीजुमा के कनाडा में रहने पर टिप्पणी करने से इनकार कर दिया।","The FBI, CIA, Canadian Security Intelligence Service and Royal Canadian Mounted Police declined to comment on the Washington Times report.",0.55
वकील भागे।,The banker that believed the lawyers ran .,0.31
मिस्रवासियों ने विभाजनकारी संविधान पर मतदान किया,Egyptians vote on constitution change,0.8
हो सकता है कि बैंकर ने राष्ट्रपति से परहेज किया हो।,The banker avoided the president .,0.53
कलाकारों के पास के एथलीटों ने वकील की मदद की।,The athletes helped the lawyer .,0.79
"सुपर टाइफून हैयान, सीजन का सबसे मजबूत, स्लैम फिलीपींस",Super typhoon Haiyan closes in on the Philippines,0.6799999999999999
नाक से लकड़ी तक छोटा सफेद मेमना।,A white lamb with its nose against a wooden box.,0.76
कलाकार ने प्रबंधक का समर्थन किया।,The artist in front of the secretary supported the manager .,0.79
मिस्र का ब्रदरहुड अपने नेता के रूप में संकटग्रस्त है,Egypt's Muslim Brotherhood Set for Mass March,0.36
पुतिन के प्रवक्ता: डोपिंग के आरोप निराधार प्रतीत होते हैं,The Latest on Severe Weather: 1 Dead in Texas After Tornado,0.0
एक लड़की कपकेक खा रही है।,A man is playing a trumpet.,0.0
हालांकि लेखक ने प्रस्तुत सचिवों ने पर्यटक की सिफारिश की।,The author presented the secretaries .,0.23
जर्मन राजदूत के एथेंस आवास पर गोली मारी,Shots fired at German ambassador's residence in Athens,1.0
डीआर कांगो विद्रोहियों ने पार्क रेंजरों को मार डाला,Rebels kill two park rangers in eastern Congo,0.8
. पापी जन स्वर्ग को प्राप्त नहीं होते।,Or sin is removed upon entry to heaven.,0.36
मंगलवार को चीनी शेयर बढ़त के करीब,Chinese shares close lower on Wednesday,0.44
लड़कियों का एक समूह एक टैक्सी से बाहर निकल रहा है।,A video clip of Rihanna leaving a taxi.,0.4
सचिव ने छात्र से संपर्क किया।,The student was contacted by the secretary .,1.0
"रक्षा मंत्रालय सैकड़ों केन्याई महिलाओं से 20 मिलियन मुआवजे के दावे का सामना कर रहा है, जो दावा करते हैं कि ब्रिटिश सैनिकों द्वारा उनके साथ बलात्कार किया गया था।",Hundreds of Kenyan women claiming they were attacked and raped by British soldiers were granted government legal aid Wednesday to pursue their case against the Ministry of Defense.,0.6
नेसेट स्पीकर: ओबामा का फिर से चुना जाना इस्राइल के लिए बुरा,7 states sue over Obama administration's birth control rule,0.08
राष्ट्रपतियों ने खिलाड़ियों को धन्यवाद दिया।,The actor claimed that the presidents thanked the athletes .,0.43
व्यक्ति मछली से शल्क निकाल रहा है।,A person is descaling a fish.,1.0
लेखक की मदद वकील ने की।,The lawyer helped the author .,1.0
बाइक पर हेलमेट पहने एक व्यक्ति मोबाइल पर बात कर रहा है।,A person wearing a helmet rides a bike near a white structure.,0.6
वैज्ञानिकों ने बैंकरों का उल्लेख किया।,The scientists mentioned the bankers who danced .,0.77
बिल्ली कूड़े की पीठ पर लेटी हुई घरेलू बिल्ली।,Tan domestic cat under black tarp.,0.4
अमेरिका और तुर्की सीरिया के लिए नो-फ्लाई जोन का वजन करते हैं,"Turkey, US weigh no-fly zones for Syria",0.96
सचिवों ने शोर मचाया।,The students claimed that the secretaries shouted .,0.43
एक काला कुत्ता घास में दौड़ रहा है।,A boy running through green grass.,0.2
कलाकारों ने डॉक्टरों पर विश्वास किया।,The doctors believed the presidents that the artists called .,0.29
हवाई अड्डे पर जमीन पर एक बड़ा जेट।,A large airplane parked at the airport at night.,0.72
वकील को पता चला कि अभिनेताओं ने सचिव को बुलाया।,The actors called the secretary .,0.55
सचिवों ने राष्ट्रपति की प्रशंसा की।,"Unless the lawyer resigned , the secretaries admired the president .",0.42
"जैक्सन हाइट्स में 35वें एवेन्यू के 64 वर्षीय पादरी, रेव. जॉन एफ. जॉनसन पर गंभीर उत्पीड़न और आपराधिक हथियार रखने का आरोप लगाया गया था।","The Rev. John Johnston, 64, was charged with aggravated harassment in the phone call case and with criminal possession of a weapon, according to a police statement.",0.75
"यदि सचिवों ने प्रतीक्षा की, तो सीनेटर ने प्रदर्शन किया।",The secretaries waited .,0.45
एथलीट ने बैंकरों को बुलाया।,"Unless the lawyer performed , the athlete called the bankers .",0.42
कैंसर प्रतिरोध के लिए आनुवंशिक प्रवृत्ति श्रेष्ठ आनुवंशिकी है।,Genetic predisposition to Alzheimer is inferior genetics.,0.2799999999999999
पेड़ों के पीछे बंदरगाह में एक बड़ा क्रूज जहाज।,A cruise ship docked at a coast.,0.6799999999999999
वकील सो गए।,"The lawyers slept , and the manager called the secretary .",0.62
लेकिन हम इसे मदद के बिना नहीं कर सकते।,"We can't do it without you.""",0.72
राष्ट्रपति को धन्यवाद देने वाले प्रबंधकों ने कलाकार को रोक दिया।,The managers stopped the artist .,0.79
एक कुत्ता चारों ओर देख रहा है,A dog is watching a store counter.,0.32
भूरे रंग के सोफे पर बैठी दो महिलाएं।,Two women standing outside of a bus.,0.2
कमजोर कमाई शेयरों को नीचे खींचती है,Weak earnings drag stocks lower on Wall Street,0.76
एक आदमी पानी के ऊट लात मार रहा है।,A woman is slicing a red pepper.,0.05
"दक्षिण एशिया इस प्रकार है, जिसमें 1.1 मिलियन युवा संक्रमित हैं - उनमें से 62 प्रतिशत महिलाएँ हैं।","Of the 1.1 million infected in south Asia, 62% are female.",0.8
डांस कर रहे वकीलों ने प्रोफेसरों को रोक दिया।,The lawyers stopped the professors .,0.79
मामला नाजुक है।,the iaea report is restricted.,0.0
एथलीट ने लेखक को पहचान लिया।,The author recognized the athlete .,0.29
सचिवों ने लेखकों को छुपाया।,Since the secretaries hid the authors arrived .,0.23
शिंगारेव ने कहा कि इस ईंधन में प्लूटोनियम से परमाणु हथियार बनाना बहुत मुश्किल है।,donohue said it is very difficult to manipulate radioactive isotopes without leaving a trail.,0.12
पोप बेनेडिक्ट सोलहवें कार्डिनल्स को अलविदा कहते हैं,Pope Benedict XVI departs Vatican for last time,0.72
कलाकार को न्यायाधीश ने रोक दिया।,The judge stopped the artist .,1.0
सीनेटर को याद आया कि राष्ट्रपति ने प्रदर्शन किया था।,The president performed .,0.55
चूंकि छात्रों ने लड़ाई लड़ी बैंकरों ने सीनेटर को मान्यता दी।,The students fought the bankers .,0.23
मैनेजर ने छात्र को देखने वाले प्रोफेसर को टाल दिया।,The professor saw the student .,0.65
गंजा चील एक रस्सी पर बैठी है।,Two bald eagles perched on a branch.,0.52
यूक्रेन: संसद के विरोध में तीन की मौत,Ukraine President Calls Talks To End Protests,0.2
सीनेटर ने छात्रों से संपर्क किया।,The students contacted the senator .,0.3
क्रिस फ्रूम ने टूर डी फ्रांस एंडगेम की सवारी की,Chris Brown concerts cancelled new,0.0
"चीन, लाओस, भारत, म्यांमार और थाईलैंड के मंत्री गरीब जातीय अल्पसंख्यकों के लिए फसल प्रतिस्थापन पहल को भी संबोधित करेंगे जो अभी भी अफीम की खेती पर निर्भर हैं।","the ministers from china, laos, india, myanmar and thailand will discuss how to find markets for goods produced under crop substitution and other related programs such as eco-tourism and handicraft manufacturing.",0.72
"इराक में हिंसक हमलों में 41 की मौत, 22 घायल","15 killed, 90 wounded in fresh attacks in Iraq",0.36
बैंकरों को राष्ट्रपति द्वारा मान्यता दी गई थी।,The bankers recognized the president .,0.3
वैज्ञानिकों ने राष्ट्रपति को रोक दिया।,The scientists and the professors stopped the president .,0.68
सऊदी अरब ने अल-क़ायदा से जुड़े संदिग्ध चरमपंथियों को गिरफ़्तार किया है,"Saudi Arabia arrests suspected militants, state media reports",0.8
दो कुत्ते बाड़े में थे।,The cowboy rode his horse in the desert.,0.0
कलाकार देश छोड़कर चले गए।,The artists left .,0.66
पर्यटकों ने न्यायाधीशों और वकीलों से संपर्क किया।,The judges contacted the lawyer .,0.29
क्या होगा अगर उन्होंने एक अध्ययन गड़बड़ कर दिया?,What if they had a personal bias?,0.2
मान लें कि हमारे पास% सफेद और% काला है।,Imagine a place that's % white and % black.,0.755555555555556
चीन के स्वास्थ्य मंत्रालय ने कहा कि सार्स से पांच और लोगों की मौत हो गई और 159 लोग संक्रमित हुए।,"On Monday, China said nine more people had died from SARS and that 160 more were infected with the virus.",0.6
वैज्ञानिक ने स्कूल में भुगतान किए गए वकीलों को पहचान लिया।,The lawyers paid in the school .,0.59
खाड़ी के निवेशकों को लुभाएगा मिस्र,Egypt seeks to lure investors ...,0.6799999999999999
पब में हेलीकॉप्टर के दुर्घटनाग्रस्त होने से तीन की मौत की आशंका,Three feared dead after helicopter pub crash,1.0
सीनेटर ने एथलीट को रोक दिया।,The senator stopped the athlete and the students .,0.73
पर्यटक ने संग्रहालय में जांच कर रहे प्रोफेसर को प्रोत्साहित किया।,The professor investigated in the museum .,0.59
अभिनेता ने उन पर्यटकों का समर्थन किया जिन्हें एथलीट ने पहचाना।,The tourists supported the athlete .,0.29
एक आदमी धूम्रपान कर रहा है।,The man sat in his suit and smoked.,0.8
लेखकों ने पर्यटकों की मदद की।,"Unless the authors helped the tourists , the students stopped the manager .",0.45
बैंकर ने सचिव की प्रशंसा की।,The secretary admired the banker .,0.3
"जब तक प्रबंधक सोए नहीं, पर्यटक चिल्लाया।",The managers slept .,0.45
वैज्ञानिकों ने डॉक्टरों की सिफारिश की।,Angry scientists recommended the doctors .,0.78
एक महिला प्याज काट रही है।,A man is cutting an onion.,0.55
आदमी एक गन्दी मेज पर बैठा है और लैपटॉप का उपयोग कर रहा है।,A man sits looking at a laptop computer on a messy table.,0.96
"केन्याई पुलिस ने अल-शबाब के प्रमुख रिक्रूटर, फाइनेंसर को गिरफ्तार किया",Kenya: Pair Arrested By Anti-Terror Police,0.64
एथलीट ने बैंकर की बात सुनी।,The athlete heard the banker admired the actor .,0.37
वकील भूल गया कि बैंकरों ने इंतजार किया।,The bankers waited .,0.55
क्या मुझे उसे सिर्फ यह बताना चाहिए कि मैं कैसा महसूस कर रहा हूं?,Should I just wait it out and see how it goes?,0.44
"थॉमसन फर्स्ट कॉल के अनुसार, विश्लेषकों को प्रति शेयर 54 सेंट के शुद्ध नुकसान की उम्मीद थी।","Analysts had forecast second quarter sales of $614 million, according to the Thomson First Call Web site.",0.3
"ओबामा ने मिस्र में हिंसा की निंदा की, सैन्य अभ्यास रद्द किया",Pakistan condemns violence in Egypt,0.16
अध्यक्ष ने प्रबंधक को प्रोत्साहित किया।,The president encouraged the manager and the bankers .,0.73
प्रबंधक ने पर्यटकों का उल्लेख किया।,"The bankers saw the students , or the manager mentioned the tourists .",0.5
जजों के पास मौजूद डॉक्टर ने एथलीटों का जिक्र किया।,The judges mentioned the athletes .,0.26
सचिव ने सीनेटरों को सलाह दी।,The managers who admired the secretary advised the senators .,0.31
अभिनेता ने लेखकों को धन्यवाद दिया।,The actor thanked the authors next to the student .,0.79
मैनेजर सो गया तो छात्र भागा।,The student ran .,0.42
"अंतरराष्ट्रीय परमाणु ऊर्जा एजेंसी की लोगों, दस्तावेजों, साइटों तक कोई पहुंच नहीं है।",the international atomic energy agency is based in,0.24
एक काला और सफेद कुत्ता मैदान में दौड़ रहा है।,A black and white dog is running in the grass.,0.96
"प्राचीन बुतपरस्त और आधुनिक ईसाई संस्कारों के मिश्रण में, ग्रामीणों ने उन दुर्भाग्य को मिटाने की उम्मीद में समारोहों की एक श्रृंखला का मंचन किया है, जिनके बारे में उनका मानना ​​​​है कि उन्होंने उन्हें गरीब रखा है।",In a mixture of ancient Melanesian pagan and modern Christian ceremonies the people tried again to erase the misfortunes they believe have kept them poor since that long-ago meal.,0.8
ब्रेविक ने कोर्ट में दूर-दराज़ सलामी दी,Breivik gets 21-year sentence,0.2
भूरे रंग की जैकेट में एक युवा लड़का बर्फ से खेल रहा है।,Two dogs are playing in the snow.,0.24
शीर्ष न्यायाधीश मंसूर ने मिस्र के अंतरिम राष्ट्रपति के रूप में शपथ ली,Justice Adly Mansour sworn in as Egypt interim president,0.8800000000000001
लेखक द्वारा सीनेटरों की मदद की गई थी।,The senators helped the author .,0.3
जजों ने सोने वाले वकीलों से परहेज किया।,The judges avoided the lawyers .,0.77
माना जाता है कि पर्यटकों ने अभिनेता की सिफारिश की थी।,The tourists recommended the actor .,0.53
मंच पर नृत्य करती महिला।,A woman is dancing.,0.64
एक मुर्गे एक मरे हुए चूहे को चुगता है।,A chicken is pecking at a dead mouse.,0.8
कलाकारों ने पर्यटकों की मदद की जिसने लेखक का परिचय कराया।,The tourists helped the the author .,0.29
वैज्ञानिक ने प्रदर्शन किया।,"If the manager arrived , the scientist performed .",0.42
छात्र ने लेखकों को सलाह दी।,Hopefully the student advised the authors .,0.53
एक आदमी गेंद पकड़ रहा है।,A cat is rubbing against a baby.,0.0
अमेरिकी आर्थिक आंकड़ों से एशियाई बाजारों में तेजी,"Asian markets lifted by positive US, China data",0.6799999999999999
वैज्ञानिक ने सीनेटरों को प्रोत्साहित किया।,The scientist and the senators encouraged the athlete .,0.29
उत्तरी इराक में सोमवार को उनके काफिले पर घात लगाकर किए गए हमले में एक सैनिक की मौत हो गई और एक अन्य घायल हो गया।,"On Sunday, a U.S. soldier was killed and another injured when a munitions dump they were guarding exploded in southern Iraq.",0.4
एक आदमी मछली काट रहा है।,A man guts a fish.,0.6
अधिकारी ने कहा कि संदिग्धों में दो कुवैती और जॉर्डन के पासपोर्ट वाले छह फिलिस्तीनी शामिल हैं।,"They include two Kuwaitis and six Palestinians with Jordanian passports, and the remainder are Iraqis and Saudis, the official said.",0.6
बगदाद के दक्षिण में मिली 53 लोगों की लाशें,Iraqi officials: 50 bodies found south of Baghdad,0.72
"जब तक एथलीट ने वकीलों की मदद नहीं की, सचिवों ने नृत्य किया।",The secretaries danced .,0.42
लेखक ने राष्ट्रपतियों को धन्यवाद दिया।,The presidents thanked the author .,0.29
बैकग्राउंड में डाइनिंग टेबल के साथ लिविंग रूम।,A boy doing a wheelie on a plank with the beach in the background.,0.0
वैज्ञानिक ने जज का परिचय पर्यटक के पीछे कराया।,The judge introduced the tourist .,0.29
भीड़ भरी सड़क पर एक लाल डबल डेकर बस।,A white bus partially in the snow on a public street.,0.4
पर्यटकों ने सचिव को रोका।,The secretary stopped the tourists who believed the managers .,0.29
डॉक्टरों के बगल में वकील इंतजार कर रहे थे।,The doctors waited .,0.26
"डीन पर एक बहुत सूक्ष्म स्वाइप में, उन्होंने भविष्यवाणी की कि अमेरिकी एक डेमोक्रेट का चुनाव नहीं करेंगे ""जो इन खतरनाक समयों में एक अनिश्चित तुरही बजाते हैं।""","They will not elect as president a Democrat who sounds an uncertain trumpet in these dangerous times.""",0.7
कलाकारों ने पर्यटकों की प्रशंसा की।,The artists admired the tourist and the professors .,0.73
एक कुत्ता फ्रिसबी पकड़ने के लिए बीच हवा में कूदता है।,The brown dog jumps for a pink Frisbee.,0.8
एक लाल और नीला विमान अपने लैंडिंग गियर के साथ उड़ रहा है।,A WWII fighter plane with its landing gear down.,0.64
डॉक्टरों ने अभिनेता को पहचान लिया।,The actor recognized the doctors .,0.29
प्रबंधकों ने वैज्ञानिक को देखा।,The managers saw the scientist who believed the author .,0.77
बकिंघम पैलेस के प्रवेश द्वार पर चाकू के साथ व्यक्ति गिरफ्तार,Man Charged After Buckingham Palace Arrest,0.44
वैज्ञानिक ने डॉक्टर की मदद की।,The scientist was helped by the doctor .,0.3
27 सितंबर को प्रमुख ईरानी अखबारों की सुर्खियां,Headlines in several Iranian newspapers on Oct 19,0.6
ओबामा दोपहर 1:15 बजे व्हाइट हाउस से सीरिया पर बोलने वाले हैं। EDT,Obama to deliver statement on Syria at White House at 1:15 PM,1.0
एक औरत हाथ हिला रही है.,A woman is slicing an onion.,0.16
"मार्टिन ने कहा, ""तुम मेरा पीछा क्यों कर रहे हो?""","Zimmerman replied, ""What are you doing here?""",0.16
सीनेटर ने वैज्ञानिक को धन्यवाद दिया।,The scientist thanked the senator .,0.29
फ्लोरिडा में डुनेडिन हाई स्कूल के एक आउटफिल्डर रयान हार्वे को शिकागो कब्स द्वारा छठी पिक के साथ चुना गया था।,"Ryan Harvey, a high school outfielder from Florida, was chosen sixth by the Cubs.",0.8400000000000001
यूरोपीय सुरक्षा के लिए सीएफई बहुत महत्वपूर्ण है।,the cfe is a cornerstone of european security.,1.0
सचिवों ने अध्यक्ष और बैंकर को सलाह दी।,The secretaries advised the banker .,0.68
छोटी बच्ची घास पर कुत्ते और गेंद के साथ खेल रही थी।,A baby plays with a dog and ball.,0.76
बैंकरों ने छात्रों का उत्साहवर्धन किया।,The bankers were encouraged by the students .,0.3
तब वह सर्वशक्तिमान नहीं रहेगा।,Then he is malevolent.,0.2799999999999999
व्यापक मानक और गरीब का 500 सूचकांक .SPX 0.04 अंक या 0 प्रतिशत नीचे 971.52 पर था।,"Standard & Poor's 500 stock index futures for June were down 2.60 points at 965.70, while Nasdaq futures were down 7.50 points at 1,183.50.",0.32
कलाकारों ने प्रयोगशाला में भुगतान किए गए वकील की मदद की।,The lawyer paid in the laboratory .,0.59
अफगानिस्तान में 4 फ्रांसीसी सैनिकों के मारे जाने की सूचना,British Soldier Killed In Afghanistan,0.2
अभिनेता ने उस बैंकर से संपर्क किया जिसने लेखक की मदद की।,The banker contacted the the author .,0.29
प्रबंधकों ने सीनेटरों का परिचय दिया।,The scientists remembered that the managers introduced the senators .,0.55
छात्रों ने प्रबंधक की प्रशंसा की।,The students admired the actors and the manager .,0.68
"जब कासा डी एस्पाना में बम विस्फोट हुआ, ग्राहक रात का खाना खा रहे थे और बिंगो खेल रहे थे।","At the Casa de Espaa, customers were eating dinner and playing bingo when a bomb went off.",1.0
"जिस डॉक्टर ने सीनेटर की मदद की, उसने प्रबंधकों का परिचय कराया।",The doctor introduced the managers .,0.79
लेखकों ने वकील का परिचय दिया।,The president learned that the authors introduced the lawyer .,0.55
कलाकारों और पर्यटकों ने लेखक को बुलाया।,The tourists called the author .,0.73
रिज ने कहा कि अभ्यास में किसी वास्तविक विस्फोटक या हानिकारक उपकरणों का इस्तेमाल नहीं किया जाएगा।,Ridge said that no actual explosives or other harmful substances will be used.,0.92
