,Sent1,Sent2,SimScore
7310,"While the lawyer ran , the professor contacted the manager .",The professor contacted the manager .,0.78
7311,A close up of the front end of a purple and white motor cycle.,Close up of the rear of a red sports car.,0.24
7312,The judges avoided the presidents .,The student that saw the judges avoided the presidents .,0.31
7313,Mandela remains in hospital,Mandela remains in 'intensive care',0.72
7314,The manager stopped the doctor who avoided the scientists .,The doctor stopped the the scientists .,0.29
7315,A girl dances in the rain.,A woman is dancing in the rain.,0.6
7316,The author stopped the tourists .,The tourists and the author stopped the scientists .,0.29
7317,MSN Messenger 6 will be available for download starting at 6 p.m. GMT on Wednesday from http://messenger.msn.com/download/v6preview.asp.,"The MSN Messenger 6 software will be available from 11 a.m. PST on Wednesday, according to Microsoft.",0.65
7318,lavrov has told us secretary of state condoleezza rice that russia remains open to dialogue. ,u.s. secretary of state condoleezza rice demanded russia withdraw its forces.,0.5599999999999999
7319,The artists recommended the secretaries next to the senators .,The artists recommended the secretaries .,0.79
7320,The tourist resigned .,"Although the banker ran , the tourist resigned .",0.78
7321,The artists were introduced by the actors .,The actors introduced the artists .,1.0
7322,The athletes behind the author supported the presidents .,The presidents supported the author .,0.29
7323,"Unless the tourists avoided the senators , the artists mentioned the students .",The artists mentioned the students .,0.42
7324,Although the bankers fought the senator advised the manager .,The bankers fought the senator .,0.23
7325,A person is slicing some onions.,A hamster is singing.,0.0
7326,The actors helped the senators .,"The actors helped the senators , and the secretary slept .",0.62
7327,The banker knew the scientist advised the professor .,The banker knew the scientist .,0.37
7328,Thai protests escalate amid violence,Thai protesters call general strike,0.6
7329,US Senate confirms Janet Yellen as US Federal Reserve chief,Senate confirms Janet Yellen as next Federal Reserve Chair,1.0
7330,A young boy plays in a red ball pit.,A laughing boy lies on a pit of blue balls.,0.6
7331,a statement issued by the official spa news agency stated that-- al-dosari was convicted of drug trafficking. ,the rapist was identified as hossein safarlou and had also been convicted of drug trafficking.,0.12
7332,Microsoft has identified the freely distributed Linux software as one of the biggest threats to its sales.,The company has publicly identified Linux as one of its biggest competitive threats.,0.6799999999999999
7333,Mauritanian president shot by army unit,Mauritanian president shot at,0.76
7334,"WORLD No. 2 Lleyton Hewitt has accused the Association of Tennis Professionals of malice, including an alleged attempt last year to dupe him into refusing a drug test.","World No.2 Lleyton Hewitt has accused his professional peers of long-standing malice, including an attempt last year to dupe him into refusing a drug test.",0.8
7335,Carlson on Tuesday said he would not recuse himself from the case.,Service officials said Carlson refused to recuse himself from the case.,0.8
7336,Mr. Grassley and Mr. Baucus rejected any disparity in drug benefits.,Grassley and Baucus said they had rejected that approach in their plan.,0.6
7337,The author stopped the actors .,"The author stopped the actors , and the senator thanked the judges .",0.62
7338,The secretaries advised the manager .,The secretaries were advised by the manager .,0.3
7339,A young woman is playing the flute.,A woman is washing off the top of a freezer.,0.0
7340,Holder filed a three-page letter.,The Judges orders a three-page letter to be filed.,0.5599999999999999
7341,The brown train is sitting on the railroad tracks.,The white train is sitting on the tracks.,0.45
7342,The judge heard the professor supported the scientist .,The judge heard the professor .,0.37
7343,Westgate mall attackers spent four months planning in Nairobi,"Westgate attackers spent four months planning in Nairobi, says official",0.9199999999999999
7344,A man with a messenger bag in front of a gray tile wall.,Man in red jacket standing in front of lighthouse.,0.16
7345,Jury nullification means a law isn't Constitutional?,No. Jury nullification does not mean that a law is unconstuitutional.,0.4
7346,The banker ran .,"After the banker ran , the author arrived .",0.61
7347,Group of people sitting at table of restaurant.,Two people sitting at a table at a restaurant.,0.76
7348,The banker admired the student .,"If the artists waited , the banker admired the student .",0.42
7349,Israel conducts airstrike on Syria,Israel launches new airstrike against Syria,0.8800000000000001
7350,"The Nasdaq composite index added 30.46 points, or 2 percent, to 1,520.15.","The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 after gaining 30.46 yesterday.",0.48
7351,The doctor believed the tourists .,The doctor believed the tourists danced .,0.37
7352,The actors helped in the school recommended the scientists .,The actors helped in the school .,0.59
7353,the drug is also known as ice or shabu. ,methamphetamine is also known as ice.,0.6799999999999999
7354,"Mr. Bankhead said the crime scenes indicated that the killer was ""very methodical.""",GBI spokesman John Bankhead said the murder scenes showed that the killer was very methodical.,0.8
7355,"Russian stocks fell after the arrest last Saturday of Mikhail Khodorkovsky, chief executive of Yukos Oil, on charges of fraud and tax evasion.","The weekend arrest of Russia's richest man, Mikhail Khodorkovsky, chief executive of oil major YUKOS, on charges of fraud and tax evasion unnerved financial markets.",0.8
7356,"He said European governments ""have blocked all new bio-crops because of unfounded, unscientific fears.","""They have blocked all new bio-crops because of unfounded, unscientific fears,"" Bush said.",0.64
7357,A man is taking some math classes.,A man is rinsing a steak.,0.0
7358,Two arrests made after protest against Nigel Farage,Kerry vows progress after latest intensive Mideast trip,0.0
7359,"Mom busted in and said, ""What's that noise?""",My kids busted in and said 'whats that Dad?',0.36
7360,Clearly the secretary resigned .,The secretary resigned .,0.88
7361,The senators encouraged the judges .,The senators were encouraged by the judges .,0.3
7362,The manager next to the authors advised the banker .,The manager advised the banker .,0.79
7363,The young man is skateboarding at a skate park.,a boy in a blue T shirt is airborne on a skateboard in a skate park.,0.76
7364,The manager stopped the tourist .,The tourist in front of the athletes stopped the manager .,0.29
7365,The manager danced .,The doctors next to the manager danced .,0.26
7366,The actors advised the athlete .,The actors next to the secretaries advised the athlete .,0.79
7367,The doctors knew the tourist advised the manager .,The doctors knew the tourist .,0.37
7368,The lawyer called the the manager .,The actors called the lawyer that advised the manager .,0.29
7369,"Jagan Reddy shifted to hospital, power crisis continues in Seemandhra",Telangana: Jagan to spend Thursday in hospital; blackout continues in Seemandhra,0.8400000000000001
7370,"Maddox, 87, cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery, Virginia Carnes said.","Maddox, who had battled cancer since 1983, cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery.",0.6799999999999999
7371,Of course the bankers recognized the authors .,The bankers recognized the authors .,0.88
7372,A large jet on the ground at the airport.,A passenger jet flies through the air.,0.36
7373,The professors knew the athlete danced .,The professors knew the athlete .,0.37
7374,This is not your country.,This is our country.,0.27999999999999997
7375,a dog napping under a small table.,A dog sleeping under a table.,0.9199999999999999
7376,"The manager waited , or the senator stopped the authors .",The senator stopped the authors .,0.5
7377,"If the scientist arrived , the doctors slept .",The doctors slept .,0.42
7378,The presidents believed the tourists waited .,The presidents believed the tourists .,0.37
7379,"According to a news release sent by the Terry Schindler-Schiavo Foundation, Florida Speaker Johnnie Byrd will introduce ""Terri's Bill"" during the special session Monday.","Florida's Speaker of the House Johnnie Byrd, is expected to introduce ''Terri's Bill'' during a one-day special session of the state legislature being held today in Tallahassee.",0.75
7380,The students recommended the lawyers and the author .,The students recommended the lawyers .,0.73
7381,The managers contacted the artists .,The scientist hoped that the managers contacted the artists .,0.43
7382,"The secretary contacted the artists , and the actor admired the athletes .",The actor admired the athletes .,0.62
7383,Although the tourists stopped the professors mentioned the actor .,The tourists stopped the professors .,0.23
7384,The professors saw the presidents .,The author recommended the presidents who the professors saw .,0.65
7385,The actor introduced the professor .,The managers forgot that the actor introduced the professor .,0.55
7386,"The nation's largest retailer has told its 100 top suppliers they have to start using electronic tags on all pallets of goods by Jan. 25, 2005.","Wal-Mart has told its top 100 suppliers that they'll need to have radio-frequency ID systems in place for tracking pallets of goods through the supply chain by Jan. 25, 2005.",0.75
7387,Factory Fires Kill At Least 260 in Pakistan,At Least Six Dead in Pakistan Gunfight,0.16
7388,When the judges moved the authors ran .,The judges moved the authors .,0.23
7389,The lawyer claimed that the authors called the athletes .,The authors called the athletes .,0.43
7390,The tourist recommended the student .,The tourist recommended the student next to the athletes .,0.79
7391,Popular bankers supported the athletes .,Bankers supported the athletes .,0.78
7392,"Agents found more than 1,000 credit cards and credit card duplicating machines during a search of Ragin's address.","When Ragin's address was raided, authorities found more than 1,000 credit cards and duplicating machines.",0.96
7393,India anti-graft party takes charge in New Delhi,India's Anti-Graft Party Forms Government in Delhi,0.8
7394,Authors mentioned the senator .,Young authors mentioned the senator .,0.78
7395,The student resigned .,The bankers learned that the student resigned .,0.55
7396,Dr. Neander's revised version.,"Neander's revised version""?",0.8
7397,Man standing in front of yellow corvette.,A man is standing next to a yellow sports car.,0.64
7398,"The student thanked the lawyers , and the actors waited .",The student thanked the lawyers .,0.62
7399,The authors recognized the secretaries .,The secretaries recognized the authors .,0.29
7400,The tourist helped in the library .,The tourist helped in the library advised the banker .,0.59
7401,The beagle is walking on the beach at the waterline.,A beagle walks along the calm shore.,0.8800000000000001
7402,Nine killed in gun attack in Pakistan,Five million citizens get unofficial salary in Ukraine,0.0
7403,A small kitten is playing a ball.,A kitten is playing with a ball.,0.8800000000000001
7404,"Because the students contacted the president , the lawyer saw the scientist .",The lawyer saw the scientist .,0.78
7405,The managers helped in the museum .,The lawyer encouraged the managers helped in the museum .,0.59
7406,The lawyer paid in the laboratory mentioned the secretary .,The lawyer paid in the laboratory .,0.59
7407,Profiles of Egypt's main presidential candidates,Second day of Egyptian presidential election,0.24
7408,"Whether or not the lawyers helped the actors , the senators slept .",The lawyers helped the actors .,0.45
7409,"Whether or not the scientist helped the professors , the doctor danced .",The doctor danced .,0.78
7410,The lawyers who slept supported the artist .,The lawyers supported the artist .,0.79
7411,The lawyers admired the doctor .,The lawyers behind the senators admired the doctor .,0.79
7412,Two foxes are eating from a plate on a brick patio.,Foxes are eating from a plate.,0.5599999999999999
7413,"The bankers ran , and the tourists mentioned the judge .",The tourists mentioned the judge .,0.62
7414,The secretaries thanked the president .,The author believed that the secretaries thanked the president .,0.43
7415,Important presidents recommended the student .,Presidents recommended the student .,0.78
7416,Probably the artists ran .,The artists ran .,0.53
7417,New Jersey School Bans Hugging,US school bans hugging,0.72
7418,"The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",The 30-year bond US30YT=RR dipped 14/32 for a yield of 4.26 percent from 4.23 percent.,0.4
7419,The senators believed the lawyer .,The senators believed the lawyer ran .,0.37
7420,A motorcycle parked next to a car.,A BMW motorcycle parked between two cars.,0.6
7421,"The CWA, which represents more than 2,300 Comcast employees, called that excessive when a typical union employee makes about $27,000 a year.","The Communications Workers Union, which represents more than 2,300 Comcast employees, called the executive pay package excessive when a typical union employee makes about $27,000 annually.",0.6799999999999999
7422,"Unless the judges believed the presidents , the athletes advised the secretaries .",The judges believed the presidents .,0.45
7423,"Druce is still being held at the prison and is now in isolation, she said.",Druce last night was held in isolation at the same prison.,0.9
7424,California governor declares drought emergency,California governor declares drought emergency as wildfires continue to burn,0.72
7425,"Whether or not the banker advised the presidents , the manager recommended the judge .",The banker advised the presidents .,0.45
7426,U.S. Drone Kills Five Militants in Pakistan,Six Police Officers Killed in Attacks in Dagestan,0.08
7427,The actors believed the athlete .,The actors believed the athlete supported the banker .,0.37
7428,"Instead, prosecutors dismissed charges and Rucker left the courtroom a free man.",Instead he left the courtroom a free man after authorities dismissed criminal charges.,0.6799999999999999
7429,"""I really liked him and I still do,"" Cohen Alon told the Herald yesterday.","And I really liked him, and I still do.",0.64
7430,Iran says serious issues remain in nuclear talks,"Iran vows to preserve ""peaceful"" nuclear program",0.32
7431,Three people sitting at dinner table smiling at camera.,Two elderly women sit at a dinner table with a man.,0.4
7432,The tourists ran .,The secretary assumed that the tourists ran .,0.43
7433,A man is dancing on the road.,A man is dancing.,0.65
7434,A bird perched on a flowerpot.,Bird perched on a flowerpot beside a stucco wall.,0.8400000000000001
7435,Red Cross worker killed in Pakistan,Kidnapped UK aid worker killed in Pakistan,0.44000000000000006
7436,Israel Carrying Out Ground Offensive In Gaza,Israel Launches Ground Offensive In Gaza,0.96
7437,"Unless the manager believed the tourists , the president danced .",The manager believed the tourists .,0.45
7438,The doctor believed the authors .,The professors claimed that the doctor believed the authors .,0.43
7439,"Civilian, defector killed in Syria, says NGO",Syria gunmen kill three Syrian officers: NGO,0.2
7440,A brown and white dog sits on a floral-patterned chair.,A small orange and white dog with a collar and a bell relaxes on a flower print pillow.,0.36
7441,The presidents admired the scientists that the tourists recommended .,The presidents admired the scientists .,0.77
7442,The secretaries helped the actor by the managers .,The secretaries helped the actor .,0.79
7443,General Electric posts 9% profit drop for third quarter,GE posts 9% profit drop for third quarter,1.0
7444,The tourists that the athletes supported advised the lawyers .,The athletes advised the tourists .,0.29
7445,Someone is frying meat.,Someone is playing paino.,0.05
7446,A man plays the keyboard with his nose.,The man is playing the piano with his nose.,0.8800000000000001
7447,The judge was advised by the professor .,The professor advised the judge .,1.0
7448,The author mentioned the tourist .,The bankers mentioned the author and the tourist .,0.29
7449,"Up to 21, mostly foreigners, killed in Kabul suicide attack",Briton among dead in Kabul suicide attack,0.5599999999999999
7450,The bankers avoided the professors .,The bankers were avoided by the professors .,0.3
7451,The man is playing the guitar.,A man is playing the flute.,0.3286
7452,Peace talks with Palestinians would take months: Israel official,3yo Palestinian girl killed in Israeli raid,0.08
7453,The tourist recognized the senators .,The actors that admired the tourist recognized the senators .,0.31
7454,A man is punching through boards.,A dog is running through water.,0.08
7455,"But White House spokesman Ari Fleischer said yesterday: ""The steps the Iranians claim to have taken in terms of capturing al-Qa'ida are insufficient.""","""The steps that the Iranians claim to have taken in terms of capturing al-Qaida are insufficient.",0.64
7456,"The judges saw the actors , and the secretaries thanked the doctors .",The secretaries thanked the doctors .,0.62
7457,A man is pouring chili into a bowl.,A man opens a can and pours the contents into a bowl.,0.5
7458,Micronesia vice president to visit China,Vice President of Bolivia to visit China,0.4
7459,The lawyer was thanked by the athlete .,The lawyer thanked the athlete .,0.3
7460,A man is rowing a boat.,A man is slicing a tomato.,0.08
7461,The actors and the author shouted .,The author shouted .,0.73
7462,Russians rally against Putin's rule,Tens of thousands rally against Putin's rule (AP),0.6799999999999999
7463,There is no more egg cell post-fertilization.,There is no more sperm cell.,0.48
7464,The bankers knew that the authors arrived .,The authors arrived .,0.55
7465,"Apple Computer's new online music service sold more than 1 million songs during its first week of operation, the company said Monday.",Apple Computer Inc. said Monday it exceeded record industry expectations by selling more than 1 million songs since the launch of its online music store a week ago.,0.9199999999999999
7466,Happy judges slept .,Judges slept .,0.78
7467,A man is mowing grass.,A man is busting concrete.,0.1666
7468,Someone is holding a hedgehog.,A onion is being sliced.,0.0
7469,A woman is deboning a fish.,A man catches a fish.,0.25
7470,The doctors and the bankers contacted the artists .,The doctors contacted the artists .,0.68
7471,sheik doon salad ilmi said civilian casualties resulting from overnight mortar and rocket attacks happen every day. ,sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.,0.72
7472,Probably the actors resigned .,The actors resigned .,0.53
7473,U.S. and Turkey weigh no-fly zones for Syria,U.S. and Turkey Tighten Coordination on Syria,0.44000000000000006
7474,Obama Praises Mandela 'Inspiration',Obama hails Mandela's inspiration effect,0.96
7475,The author introduced the manager .,The author was introduced by the manager .,0.3
7476,The presidents were advised by the professors .,The professors advised the presidents .,1.0
7477,The student helped the athletes .,The artist who supported the athletes helped the student .,0.29
7478,A cat stares into the camera.,A cat addresses the camera.,0.6
7479,Iran ups oil swap with eastern neighbors,Iran urges rapid release of diplomat,0.08
7480,The tourists admired the secretaries .,The tourists admired the secretaries who supported the lawyers .,0.77
7481,Pakistan's Musharraf Under Arrest in Bhutto Assassination,Pakistan's Musharraf arrives at court for first time,0.48
7482,A school bus is driving uphill on a rural road.,A race care driving along a dirt road.,0.2
7483,A group of river barges with trees in the background.,A young girl wearing a bike helmet with a bicycle in the background.,0.08
7484,A black dog is running through the snow.,A black pit bull dog is running through the dirt.,0.44000000000000006
7485,The professors paid in the library .,The professors paid in the library resigned .,0.59
7486,The manager that avoided the students admired the secretaries .,The secretaries admired the students .,0.29
7487,Freddie Starr Arrested In Savile Abuse Probe,Third man arrested in Savile sex abuse probe,0.64
7488,The athletes waited .,"Unless the doctor helped the judge , the athletes waited .",0.42
7489,Margaret Thatcher dies after stroke,Margaret Thatcher dies at 87,0.8400000000000001
7490,The actors waited .,"The president believed the secretary , or the actors waited .",0.5
7491,"The artist helped the secretaries , or the tourist recommended the senator .",The artist helped the secretaries .,0.5
7492,Sens. John Kerry and Bob Graham declined invitations to speak.,The no-shows were Sens. John Kerry of Massachusetts and Bob Graham of Florida.,0.72
7493,"Griffith, a Mount Airy native, now lives on the North Carolina coast in Manteo.","Griffith, 77, grew up in Mount Airy and now lives in Manteo.",0.8
7494,France Says Won't 'Shirk Responsibilities' in Syria,France urges EU to be united on Syria,0.52
7495,Britain shuts down plants as horse meat scandal reaches France,EU ministers 'determined' to resolve horsemeat scandal,0.6
7496,The professors were introduced by the student .,The student introduced the professors .,1.0
7497,The doctors by the presidents advised the tourists .,The tourists advised the doctors .,0.29
7498,"After the banker admired the tourists , the lawyers resigned .",The lawyers resigned .,0.78
7499,A man is coming out into the water.,A man rises from a swamp.,0.64
7500,The lawyers recommended the athlete .,Supposedly the lawyers recommended the athlete .,0.53
7501,Palestinian leadership condemn Israeli FM call to oust Abbas,Palestinian leadership backs Fatah-Hamas Doha deal,0.2
7502,The bankers called the senator .,"Unless the doctors ran , the bankers called the senator .",0.42
7503,"With the Expose feature, all open windows shrink to fit on the screen but are still clear enough to identify.","With the Expose (ex-poh-SAY) feature, all the open windows on the desktop immediately shrink to fit on the screen but are still clear enough to identify.",0.8800000000000001
7504,The artist thanked the scientists .,The scientists thanked the artist .,0.29
7505,They have actually showed a cooling trend since  due to the recent decline.,get a cooling trend from  because of the recent decline.,0.9199999999999999
7506,The lawyer resigned .,"The artist slept , and the lawyer resigned .",0.62
7507,The tourist called the actors .,The tourist in front of the secretaries called the actors .,0.79
7508,"While the artists resigned , the manager slept .",The manager slept .,0.78
7509,The doctors advised the presidents .,"Since the doctors advised the presidents , the senators helped the authors .",0.61
7510,The bankers admired the secretary .,The secretary was admired by the bankers .,1.0
7511,The managers supported the authors .,"Because the managers supported the authors , the presidents slept .",0.61
7512,A man is swinging on a rope above the water.,A man in warm clothes swinging on monkey bars at night.,0.32
7513,Wave of attacks kills at least 95 in Iraq,Suicide attack kills at least 12 in northern Iraq,0.36
7514,Hopefully the students mentioned the manager .,The students mentioned the manager .,0.53
7515,"The actor admired the manager , and the lawyer performed .",The actor admired the manager .,0.62
7516,The secretary introduced the lawyer .,The secretary by the judge introduced the lawyer .,0.79
7517,The secretaries heard the scientists .,The secretaries heard the scientists shouted .,0.37
7518,A passenger train coming into a station.,A passenger train sits in the station.,0.48
7519,The woman holding a black purse is smoking a cigarette.,A woman with a black bag is smoking a cigarette,0.96
7520,The procedure is generally performed in the second or third trimester.,"The technique is used during the second and, occasionally, third trimester of pregnancy.",0.9
7521,Important senators encouraged the lawyers .,Senators encouraged the lawyers .,0.78
7522,"38 killed in rains, flash floods in Pakistan",Three killed in Brazil stadium collapse,0.08
7523,A person is slicing onions.,A person is peeling an onion.,0.52
7524,Israeli forces detain 2 in Hebron arrest raid,Israeli credibility on line over Iran nuclear challenge,0.45
7525,The artist was encouraged by the judge .,The artist encouraged the judge .,0.3
7526,The secretary and the actors waited .,The actors waited .,0.73
7527,"Indonesia's army has often been accused of human rights abuses during GAM's battle for independence, charges it has generally denied while accusing the separatists of committing rights violations.","Indonesia's army has been accused of human rights abuses during its earlier battles with GAM, charges it has generally denied.",0.65
7528,The doctors thanked the managers .,The doctors next to the actor thanked the managers .,0.79
7529,The author believed the student helped the judge .,The author believed the student .,0.37
7530,The manager believed the professor .,The professor was believed by the manager .,1.0
7531,The tourist performed .,"The secretary recommended the bankers , or the tourist performed .",0.5
7532,Bangladesh Honors Factory Victims,Retailers back Bangladesh factory safety pact,0.5599999999999999
7533,"The Standard Edition is $15,000 per processor or $300 per named user.",The Standard Edition One is a single processor version of the Oracle Standard Edition Database.,0.5
7534,"Some 660 prisoners from 42 countries, including Canada, are held, many captured during the war against in Afghanistan the al-Qaida network.","Some 660 prisoners from 42 countries are being held at the Naval base at Guantanamo Bay, many captured during the war against Al Qaeda in Afghanistan.",0.6666000000000001
7535,A person is frying a meat in the pan.,A man is cutting a vegetable.,0.12
7536,Sail boat sailing on the water.,Sail boat floating on the blue water.,0.8400000000000001
7537,The students advised the presidents .,The students advised the presidents that waited .,0.77
7538,A person is petting a monkey.,A man is holding a slow loris.,0.24
7539,"The report forecasts there will be 71,079 hot spots worldwide this year, up from just 14,752 in 2002 and 1,214 in 2001.","The report also claims that there will be up to 9.3 million visitors to hot spots this year, up again from the meagre 2.5 million in 2002.",0.35
7540,"Between 1993 and 2002, 142 allegations of sexual assault were reported.","From 1993 to 2002, there were 142 reported sexual assaults at the academy.",0.72
7541,Classical Gas We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.,0.6
7542,The doctors mentioned the senators .,The athletes claimed that the doctors mentioned the senators .,0.43
7543,Google releases Nexus 5 phone with Kit Kat,Google redesigns search results on PCs,0.2
7544,"Two German tourists, two pilots killed in Kenya air crash",Senator Reid involved in Las Vegas car crash: CNN,0.12
7545,UN voices alarm over Israeli strikes on Syria,Israeli official confirms second air strike at Syria,0.44000000000000006
7546,The athlete near the senators stopped the actors .,The athlete stopped the actors .,0.79
7547,UN report says both sides in Syria abuse rights,NATO leader plays down risk of Turkey-Syria clash,0.2
7548,The tourists recommended the secretaries .,The secretaries that the tourists recommended introduced the student .,0.65
7549,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.,0.85
7550,The athletes knew the student .,The athletes knew the student recommended the tourists .,0.37
7551,"In that position, Elias will report to Joe Tucci, president and CEO of EMC.","As executive vice president of new ventures, Elias will report to Joe Tucci, EMC's president and chief executive.",0.6799999999999999
7552,the united states government has accused the iranian government of trying to develop nuclear weapons under the cover of a civilian nuclear program. ,the us and allies have accused iran of attempting to develop nuclear weapons under the guise of a civilian nuclear program.,0.9199999999999999
7553,a snowboarder jumps into the air.,A snowboarder flies through the air.,0.8
7554,"If the scientists contacted the author , the students performed .",The scientists contacted the author .,0.45
7555,All eyes on Khurshid’s trip ...,EU finance ministers’ talks b...,0.36
7556,Jonny Bairstow and Eoin Morgan shine for England in Mumbai,Bairstow hits ton in India tour match,0.36
7557,The actors supported the senator .,"If the actors supported the senator , the doctors stopped the president .",0.45
7558,The banker thanked the students .,The banker thanked the students next to the professor .,0.79
7559,The manager thanked the the judges .,The president thanked the manager who introduced the judges .,0.29
7560,The managers that mentioned the artists advised the senator .,The artists advised the senator .,0.31
7561,The president hoped that the tourist introduced the secretaries .,The tourist introduced the secretaries .,0.43
7562,a breakdown of order in china will lead to significant global turmoil. ,a breakdown of order in china will be worse than in afghanistan or yugoslavia.,0.6799999999999999
7563,A man is fishing.,A man is exercising.,0.1
7564,The secretary arrived .,Probably the secretary arrived .,0.53
7565,The scientists and the professor stopped the banker .,The scientists stopped the banker .,0.68
7566,Two men wearing bike helmets.,Two men stand with their bicycles outside a shop.,0.32
7567,The secretaries heard the scientist .,The secretaries heard the scientist recognized the actors .,0.37
7568,Those are partial psychopaths.,Was Ted Bundy a partial psychopath?,0.36
7569,Mother arrested on suspicion of manslaughter after dog kills daughter,Man arrested on suspicion of murder after stabbing in Suffolk,0.36
7570,"Teenager in China kills 8, wounds 5 in knife attack",Teenager kills 8 in knife attack,0.64
7571,A yellow and blue airplane is flying in the sky.,The white airplane is flying in the blue sky.,0.64
7572,The students encouraged the senators .,The senators encouraged the students .,0.29
7573,"The broader Standard & Poor's 500 Index .SPX fell 3 points, or 0.30 percent, to 995.","The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94.",0.2666
7574,The artist arrived .,"The managers thanked the athletes , and the artist arrived .",0.62
7575,"Further out the curve, the benchmark 10-year note US10YT=RR shed 25/32 in price, taking its yield to 3.26 percent from 3.17 percent.","Early Wednesday, the benchmark 10-year US10YT=RR had lost 16/32 in price, driving its yield up to 3.33 percent from 3.26 percent late Tuesday.",0.6
7576,The athletes admired the authors .,The athletes were admired by the authors .,0.3
7577,The professor who contacted the lawyers stopped the secretary .,The secretary stopped the lawyers .,0.29
7578,fix?: Islam itself is not political.,Islam has always been political.,0.24
7579,Without a doubt the senator performed .,The senator performed .,0.88
7580,"If you haven't made any claims, then just say so.",I haven't made any claims.,0.48
7581,two big brown dogs running through the snow.,A brown dog running through the grass.,0.4
7582,The scientist helped the doctors .,Supposedly the scientist helped the doctors .,0.53
7583,The students arrived .,Supposedly the students arrived .,0.53
7584,Chicago teacher strike nears end with 'framework' agreement in place,"General strike ends: Histadrut, Treasury reach agreement",0.16
7585,the countries oppose the weaponization of space and an arms race in space. ,china stressed that opposition of weaponization and an arms race in outer space.,0.64
7586,A man is playing guitar.,A man plays a guitar.,0.9714
7587,The student called the scientists and the professors .,The professors called the scientists .,0.29
7588,"The tourists recommended the actor , or the senators resigned .",The tourists recommended the actor .,0.5
7589,The artist thanked the author who called the professors .,The author thanked the artist .,0.29
7590,Egyptians vote on Islamist-backed constitution,'Judge at polls directs voters on Egypt constitution vote',0.27999999999999997
7591,Two men charged with terrorism offences,Saudi-born Nigerian charged with terrorism in New York,0.36
7592,She said Jane Doe's lawyers asked Verizon to withhold her name because she was planning on challenging the subpoena.,"Jane Doe, deciding to fight the subpoena, asked Verizon to withhold her name.",0.72
7593,The presidents next to the secretary believed the artists .,The secretary believed the artists .,0.26
7594,"KEDO Spokesman, Roland Tricot said: ""The executive board decided to refer this question to capitals.","""The executive board decided to refer this to the capitals,"" the Korean Energy Development Organization said.",0.8
7595,A woman is swimming.,A man is spitting.,0.0
7596,The athlete ran .,"Whether or not the athlete ran , the doctors recognized the author .",0.45
7597,The athletes forgot that the manager danced .,The manager danced .,0.55
7598,The settlement taking effect this week was reached less than two months after O'Malley took the helm of the nation's fourth-largest archdiocese.,"The $85 million agreement was reached in September, less than two months after Archbishop Sean O'Malley took over as leader of the nation's fourth-largest diocese.",0.6
7599,A kangroo is eating something.,A kangaroo is eating.,0.96
7600,The secretary stopped the scientists who recognized the professors .,The professors stopped the secretary .,0.29
7601,"The pill, which they call the ""polypill,"" would contain aspirin, a cholesterol-lowering drug, three blood pressure-lowering drugs at half the standard dose and folic acid.","The ingredients of such a polypill would contain aspirin, a cholesterol-lowering statin, three blood pressure-lowering agents in half dose, and folic acid.",1.0
7602,The secretary waited .,"Although the banker contacted the actor , the secretary waited .",0.78
7603,China stocks end lower Thursday,China stocks close lower on Thursday,1.0
7604,How exactly is Germany being 'punished' for the stupidity of WW?,How exactly are they being punished?,0.27999999999999997
7605,The secretary danced .,"In case the doctor mentioned the senators , the secretary danced .",0.78
7606,The students were stopped by the lawyer .,The lawyer stopped the students .,1.0
7607,Gang violence kills 16 in Venezuelan prison,Sixteen killed in Venezuela prison,0.8
7608,Serious lawyers helped the actors .,Lawyers helped the actors .,0.78
7609,The scientist stopped the student that called the managers .,The student stopped the scientist .,0.29
7610,The actors helped in the laboratory .,The actors helped in the laboratory mentioned the professor .,0.59
7611,A dark brown horse standing in a field.,Horse standing in a field.,0.72
7612,A white dog running on sand.,A white dog runs on the sand.,1.0
7613,A woman is slicing an onion.,A woman is cutting an onion.,0.8400000000000001
7614,"SUVs parked on residential streets in Monrovia were tagged with ""ELF"" and other slogans, and another was set ablaze in front of a house, Sgt. Tom Wright said.","Several SUVs parked on residential streets in Monrovia were tagged with ``ELF'' and other slogans, said Sgt. Tom Wright.",0.7
7615,The secretaries paid the lawyers .,The secretaries paid .,0.66
7616,"Z stalked him down, then shot him.","You claimed Zimmerman "" Stalked him down, then shot him "".",0.6
7617,They found molecules that can only be produced when ozone breaks down cholesterol.,And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.,0.85
7618,The athletes and the senators waited .,The senators waited .,0.73
7619,The athlete encouraged the lawyers .,The judge knew that the athlete encouraged the lawyers .,0.55
